Symbole,Nom,NumeroAtomique,Masse
H,Hydrogène,1,1.008
He,Hélium,2,4.0026
Li,Lithium,3,6.94
Be,Béryllium,4,9.0122
B,Bore,5,10.81
C,Carbone,6,12.01
N,Azote,7,14.01
O,Oxigène,8,16.00
F,Fluor,9,18.9984
Ne,Néon,10,20.18
Na,Sodium,11,22.99
Mg,Magnésium,12,24.31
Al,Aluminium,13,26.98
Si,Silicium,14,28.09
P,Phosphore,15,30.97
S,Soufre,16,32.06
Cl,Chlore,17,35.45
Ar,Argon,18,39.95
K,Potassium,19,39.10
Ca,Calcium,20,40.08
Sc,Scandium,21,44.96
Ti,Titane,22,47.87
V,Vanadium,23,50.94
Cr,Chrome,24,51.99
Mn,Manganèse,25,54.94
Fe,Fer,26,55.85
Co,Cobalt,27,58.93
Ni,Nickel,28,58.69
Cu,Cuivre,29,63.55
Zn,Zinc,30,65.38
Ga,Gallium,31,69.72
Ge,Germanium,32,72.63
As,Arsenic,33,74.92
Se,Sélénium,34,78.97
Br,Brome,35,79.90
Kr,Krypton,36,83.80
Rb,Rubidium,37,85.47
Sr,Strontium,38,87.62
Y,Yttrium,39,88.91
Zr,Zirconium,40,91.22
Nb,Niobium,41,92.91
Mo,Molybdène,42,95.95
Tc,Technétium,43,98.00
Ru,Ruthénium,44,101.1
Rh,Rhodium,45,102.9
Pd,Palladium,46,106.4
Ag,Argent,47,107.9
Cd,Cadmium,48,112.4
In,Indium,49,114.8
Sn,Étain,50,118.7
Sb,Antimoine,51,121.8
Te,Tellure,52,127.6
I,Iode,53,126.9
Xe,Xénon,54,131.3
Cs,Césium,55,132.9
Ba,Baryum,56,137.3
La,Lanthane,57,138.9
Ce,Cérium,58,140.1
Pr,Praséodyme,59,140.9
Nd,Néodyme,60,144.2
Pm,Prométhium,61,145.0
Sm,Samarium,62,150.4
Eu,Europium,63,151.9
Gd,Gadolinium,64,157.3
Tb,Terbium,65,158.9
Dy,Dysprosium,66,162.5
Ho,Holmium,67,164.9
Er,Erbium,68,167.3
Tm,Thulium,69,168.9
Yb,Ytterbium,70,173.0
Lu,Lutécium,71,174.9
Hf,Hafnium,72,178.5
Ta,Tantale,73,180.9
W,Tungstène,74,183.8
Re,Rhénium,75,186.2
Os,Osmium,76,190.2
Ir,Iridium,77,192.2
Pt,Platine,78,195.1
Au,Or,79,197.0
Hg,Mercure,80,200.6
Tl,Thallium,81,204.4
Pb,Plomb,82,207.2
Bi,Bismuth,83,208.9
Po,Poloniumm,84,209.0
At,Astate,85,210.0
Rn,Radon,86,222.0
Fr,Francium,87,223.0
Ra,Radium,88,226.0
Ac,Actinium,89,227.0
Th,Thorium,90,232.0
Pa,Protactinium,91,231.0
U,Uranium,92,238.0
Np,Neptunium,93,237.0
Pu,Plutonium,94,244.0
Am,Américium,95,243.0
Cm,Curium,96,247.0
Bk,Berkélium,97,247.0
Cf,Californium,98,251.0
Es,Einsteinium,99,252.0
Fm,Fermium,100,257.0
Md,Mendélévium,101,258.0
No,Nobélium,102,259.0
Lr,Lawrencium,103,262.0
Rf,Rutherfordium,104,267.0
Db,Dubdium,105,268.0
Sg,Seaborgium,106,269.0
Bh,Bohrium,107,270.0
Hs,Hassium,108,277.0
Mt,Meitnérium,109,278.0
Ds,Darmstadtium,110,281.0
Rg,Roentgenium,111,282.0
Cn,Copernicium,112,285.0
Nh,Nihonium,113,286.0
Fl,Flérovium,114,289.0
Mc,Moscovium,115,289.0
Lv,Livermorium,116,293.0
Ts,Tennesse,117,294.0
Og,Oganesson,118,294.0
